speech_id,mot_cible,contexte_complet,fichier,speakerid,lastname,firstname,chamber,state,gender,party,district,nonvoting,date
970024690,monetary_policy,government tax policy budget policy monetary policy regulatory policy reagan program results,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-05-05
970025589,monetary_policy,restraint productivityoriented tax cuts stable monetary policy regulatory reform welcome needed change,speeches_97.txt,97119591,GRASSLEY,CHARLES,S,IA,M,R,,voting,1981-05-07
970025589,monetary_policy,rate cuts regulatory relief stable monetary policy provide economic environment serve needed,speeches_97.txt,97119591,GRASSLEY,CHARLES,S,IA,M,R,,voting,1981-05-07
970025653,monetary_policy,concept regulatory reform concept stable monetary policy underlie presidents plan resolutions recommendations,speeches_97.txt,97113601,DOMENICI,PETE,S,NM,M,R,,voting,1981-05-07
970025970,monetary_policy,concept regulatory reform concept stable monetary policy underlie presidents plan resolutions recommendations,speeches_97.txt,97113601,DOMENICI,PETE,S,NM,M,R,,voting,1981-05-07
970026103,monetary_policy,regulatory reform fourth package stable monetary policy getting proposals let point couple,speeches_97.txt,97107850,LATTA,DELBERT,H,OH,M,R,5,voting,1981-05-07
970026111,monetary_policy,activity needed provide basis stable monetary policy dramatic recovery economy bipartisan substitute,speeches_97.txt,97107850,LATTA,DELBERT,H,OH,M,R,5,voting,1981-05-07
970026254,monetary_policy,manipulation interest rates incredible mismanagement monetary policy country caused severe problems credibility,speeches_97.txt,97107830,KEMP,JACK,H,NY,M,R,38,voting,1981-05-07
970026254,monetary_policy,equal problem gentleman oklahoma handle monetary policy recognize independent shibboleth ought start,speeches_97.txt,97107830,KEMP,JACK,H,NY,M,R,38,voting,1981-05-07
970026254,monetary_policy,independent shibboleth ought start looking monetary policy country discredit interest rates absorption,speeches_97.txt,97107830,KEMP,JACK,H,NY,M,R,38,voting,1981-05-07
970026256,monetary_policy,saying years harmonize fiscal monetary policy way bring interest rates political,speeches_97.txt,97107320,JONES,JAMES,H,OK,M,D,1,voting,1981-05-07
970026279,monetary_policy,relief ovcrrcguiatitn following noninfliationary predictable monetary policy interwoven measures whiich insurc addresscd,speeches_97.txt,97116500,SNOWE,OLYMPIA,H,ME,F,R,2,voting,1981-05-07
970026279,monetary_policy,provide relief overregulation maintain predictable monetary policy grammlatta plan grammlatta bipartisan proposal,speeches_97.txt,97116500,SNOWE,OLYMPIA,H,ME,F,R,2,voting,1981-05-07
970026348,monetary_policy,growth federal budget establish sound monetary policy goals worthwhile support doubts objectives,speeches_97.txt,97106150,HOLLENBECK,HAROLD,H,NJ,M,R,9,voting,1981-05-07
970026357,monetary_policy,taxes reduced federal regulation addition monetary policy noninflationary course reagan economic program,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-05-07
970026357,monetary_policy,bentsen program called moderately tight monetary policy federal spending restraint reduced tax,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-05-07
970026357,monetary_policy,government tax policy budget policy monetary policy regulatory policy reagan program results,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-05-07
970026380,monetary_policy,place nearly antiinflation effort squarely monetary policy saying effort inflation massive deficits,speeches_97.txt,97117580,DINGELL,JOHN,H,MI,M,D,16,voting,1981-05-07
970026391,monetary_policy,economic recovery history occurred saddled monetary policy tight money high interest rates,speeches_97.txt,97108720,AUCOIN,LES,H,OR,M,D,1,voting,1981-05-07
970026391,monetary_policy,money high interest rates strict monetary policy integral new economic plan support,speeches_97.txt,97108720,AUCOIN,LES,H,OR,M,D,1,voting,1981-05-07
970026426,monetary_policy,place nearly antiinflation effort squarely monetary policy lead distortions financial markets unacceptable,speeches_97.txt,97116780,DICKS,NORMAN,H,WA,M,D,6,voting,1981-05-07
970026525,monetary_policy,said measures place extraordinary strain monetary policy leading distortions financial markets higher,speeches_97.txt,97113650,GEPHARDT,RICHARD,H,MO,M,D,3,voting,1981-05-07
970026536,monetary_policy,crowded financial market 4 stable monetary policy growth previous 2 years arguments,speeches_97.txt,97107410,MITCHELL,PARREN,H,MD,M,D,7,voting,1981-05-07
970026542,monetary_policy,resolution tax cuts regulatory reform monetary policy address questions important action taken,speeches_97.txt,97108230,FAUNTROY,WALTER,H,DC,M,D,0,nonvoting,1981-05-07
970026544,monetary_policy,eliminate waste fraud develop stable monetary policy stimulate economic growth productivity differences,speeches_97.txt,97109890,UDALL,MORRIS,H,AZ,M,D,2,voting,1981-05-07
970026563,monetary_policy,incomes 30 billion presidents budget monetary policy proposals inflation fall current years,speeches_97.txt,97107260,HARTNETT,THOMAS,H,SC,M,R,1,voting,1981-05-07
